ro	cmavo   	-rol-		      		Ziffer/Zahl: jeder/alle von
roi	cmavo   	-rom-   	-roi-	      		wandelt Zahl in ein objektiv quantifiziertes (Intervall-Bestimmungswort) um; default: Zeitliche Vorkommen
se	cmavo   	-sel-		      		zweiter Tausch; tauscht den ersten und zweiten Platz
si'o	cmavo   	-siz-		      		Abstraktion: Idee/Konzept-Abstraktion; x_1 ist x_2s Konzept von [bridi]
so	cmavo   	-soz-		   	PA1      	Zahl/Ziffer: 9 [Neun].
so'a	cmavo   	-soj-		      		Ziffer/Zahl: fast alle (Ziffer/Zahl)
so'e	cmavo   	-sop-		      		Ziffer/Zahl: die meisten
so'i	cmavo   	-sor-   	-so'i-	      		Ziffer/Zahl: viele
so'o	cmavo   	-sos-		      		Ziffer/Zahl: einige
so'u	cmavo   	-sot-		      		Ziffer/Zahl: wenige
su'e	cmavo   	-sup-   	-su'e-	      		Ziffer/Zahl: höchstens (alle); nicht mehr als
su'o	cmavo   	-suz-   	-su'o-	      		Ziffer/Zahl: mindestens (wenige); nicht weniger als
su'u	cmavo   	-suv-		      		Abstraktion: allgemeine Abstraktion (wie); x_1 ist [bridi] als unspezifische Abstraktion von Typ x_2
ta	cmavo   	-taz-		      		pro-sumti: das dort; nahe gelegenes demonstratives es; bezeichnet ein Ding/Ort in der Nähe des Zuhörers
te	cmavo   	-ter-		      		dritter Tausch; tauscht den ersten und dritten Platz
ti	cmavo   	-tif-		      		pro-sumti: dies hier; direktes demonstratives es; bezeichnet ein Ding/Ort in der Nähe des Sprechers
to'e	cmavo   	-tol-   	-to'e-	      		polares Gegenteil Negator (skalar)
tu	cmavo   	-tuf-		      		pro-sumti: jenes; entferntes demonstratives es; bezeichnet eine Sache entfernt von Sprecher und Zuhörer
ui	cmavo			   	UI1      	Attitudinal: Freude - Trauer.	Siehe auch {gleki}.
uinai	cmavo-compound			   	UI*1      	Attitudinal: Fröhlichkeit – Traurigkeit.	Siehe auch {badri}.
va	cmavo   	-vaz-		      		räumliche Entfernung: nahe bei ...; dort bei ...; eine mittlere/kleine Entfernung von ...
ve	cmavo   	-vel-		      		vierter Tausch; tauscht den ersten und vierten Platz
vi	cmavo   	-viz-		      		räumliche Entfernung: hier bei ...; bei, nahe oder eine sehr kleine Entfernung von ...
vo	cmavo   	-von-		   	PA1      	Zahl/Ziffer: 4 [Vier]
vu	cmavo   	-vuz-		      		räumliche Entfernung: weit von ...; eine weite Entfernung von ...
xa	cmavo   	-xav-		   	PA1      	Zahl/Ziffer: 6 [Sechs].
xe	cmavo   	-xel-		      		Fünfter Tausch; tauscht den ersten und fünften Platz
za'i	cmavo   	-zaz-		      		Abstraktion: Zustand (Ereignis) Abstraktion; x_1 ist der andauernde Zustand, dass [bridi] wahr ist
za'o	cmavo   	-za'o-		      		Intervall-Ereignisumriss: setzt zu lang fort nach dem natürlichen Ende von ...; ... |     ---->
ze	cmavo   	-zel-		   	PA1      	Zahl/Ziffer: 7 [Sieben].
ze'o	cmavo   	-zev-   	-ze'o-	      		räumliche Beziehung/Richtung; über ... hinaus/nach außen/entfernend von ...
zi'o	cmavo   	-zil-		      		pro-sumti: füllt einen sumti-Platz und entfernt diesen von der selbri-Platzstruktur; verändert die selbri-Semantik
zo'a	cmavo   	-zon-   	-zo'a-	      		räumliche Beziehung/Richtung; tangential zu .../an ... vorbeigehend
zo'i	cmavo   	-zor-   	-zo'i-	      		räumliche Beziehung/Richtung; nach innen/sich annähernd
zu'o	cmavo   	-zum-		      		Abstraktion: Aktivität (Ereignis) Abstraktion; x_1 ist eine abstrakte Aktivität/Handlung von [bridi] zusammengesetzt aus x_2
