bradi	gismu			      	x_1 es un enemigo/oponente/contendiente/adversario/antagonista de x_2 en lucha x_3	Ver también {damba},  {jamna}.
bratu	gismu			      	x_1 es una cantidad de granizo/pedrisco/precipitación sólida de material/composición x_2
brazo	gismu   	-raz-		      	x_1 refleja cultura/nacionalidad/idioma brasileño en aspecto x_2
bredi	gismu   	-red-   	-bre-	      	x_1 está listo/preparado/dispuesto para x_2 (evento)
bridi	gismu   	-bri-		      	x_1 es un predicado con relación x_2 entre argumentos x_3
brife	gismu   	-bif-   	-bi'e-	      	x_1 es una brisa/viento/vendaval desde dirección x_2 con velocidad x_3
briju	gismu   	-bij-		      	x_1 es una oficina/lugar de trabajo de x_2 en localidad x_3
brito	gismu   	-rit-		      	x_1 refleja cultura/nacionalidad/idioma británico/del Reino Unido en aspecto x_2	Ver también {glico},  {skoto},  {merko}.
broda	gismu   	-rod-		      	1er predicado variable asignable
brode	gismu   	-bo'e-		      	2do predicado variable asignable
brodi	gismu			      	3er predicado variable asignable
brodo	gismu			      	4to predicado variable asignable
brodu	gismu			      	5to predicado variable asignable
bruna	gismu   	-bun-   	-bu'a-	      	x_1 es hermano (varón) de x_2 por lazo/relación x_3 (no necesariamente biológica)	Ver también {mensi},  {tunba},  {tamne}.
budjo	gismu   	-buj-   	-bu'o-	      	x_1 refleja cultura/religión/ética budista en aspecto x_2
bukpu	gismu   	-buk-   	-bu'u-	      	x_1 es una tela/paño/género/sábana (forma flexible bidimensional) de tipo/material x_2	Ver también {boxfo}.
bumru	gismu   	-bum-		      	x_1 es brumoso/cubierto de niebla/neblina/rocío/vapor de líquido x_2
bunda	gismu   	-bud-		      	x_1 pesa x_2 unidades locales de peso (1 por defecto), estándar x_3, x_4 subunidades
bunre	gismu   	-bur-   	-bu'e-	      	x_1 es marrón/castaño/canela/pardo (color)
burcu	gismu   	-bru-		      	x_1 es un cepillo/brocha con propósito x_2 con hebras x_3	Ver también {komcu}.
burna	gismu			      	x_1 se siente incómodo/embarazado/desconcertado/turbado por x_2 (evento)	Ver también {kufra}.
cabna	gismu   	-cab-		      	x_1 está en el presente/durante/simultáneo/al mismo tiempo que x_2	Ver también {balvi},  {purci},  {zvati}.
cabra	gismu   	-ca'a-		      	x_1 es un aparato/mecanismo/artefacto/ingenio con función x_2 controlado por x_3	Ver también {tutci},  {minji}.
cacra	gismu			      	x_1 dura x_2 horas (1 por defecto) según estándar x_3
cadzu	gismu   	-dzu-		      	x_1 anda/camina/pasea sobre superficie x_2 usando miembros x_3	Ver también {stapa},  {bajra},  {klama},  {litru}.
cafne	gismu   	-caf-		      	x_1 (evento) ocurre frecuentemente/seguido/a menudo según estándar x_2	Ver también {rirci},  {fadni},  {kampu},  {rapli},  {krefu}.
cakla	gismu			      	x_1 es una cantidad de chocolate/cacao
calku	gismu   	-cak-		      	x_1 es una concha/casco/casquete/caparazón/cubierta protectora alrededor de x_2 compuesta de x_3	Ver también {pilka},  {skapi}.
canci	gismu			      	x_1 desaparece/se desvanece de localidad x_2	Ver también {stali}.
cando	gismu   	-cad-		      	x_1 está quieto/inactivo/en reposo/inmóvil/ocioso	Ver también {muvdu}.
cange	gismu   	-cag-		      	x_1 es una granja/chacra/rancho/estancia en x_2, trabajada por x_3, con producción x_4	Ver también {purdi}.
canja	gismu   	-caj-		      	x_1 canjea/intercambia x_2 por x_3 con x_4
canko	gismu   	-ca'o-		      	x_1 es una ventana/apertura en pared/edificio/estructura x_2	Ver también {vorme}.
canlu	gismu   	-cal-   	-ca'u-	      	x_1 es espacio/volumen/lugar ocupado por x_2
canpa	gismu   	-cna-		      	x_1 es una pala para cavar x_2
canre	gismu   	-can-		      	x_1 es una cantidad de arena de origen x_2 de composición x_3
canti	gismu			      	x_1 son entrañas/intestinos/tripas/sistema digestivo (parte del cuerpo) de x_2
carce	gismu			      	x_1 es un carro/carroza/carruaje/carreta/vagón (vehículo con ruedas) para pasajeros/carga x_2, propelido/impulsado por x_3
